,genome,scaffold,p1_id,p2_id,p1_start,p1_end,p2_start,p2_end,length
20,I19A,NODE_5720_length_148927_cov_12.616034,atg162|pair_2|rev,atg162|pair_2|fwd|var_1,98931,98952,100552,100532,1621
21,I19A,NODE_5720_length_148927_cov_12.616034,atg162|pair_2|rev,atg162|pair_2|fwd|var_0,98931,98952,99439,99418,508
22,I61A,NODE_9417_length_112597_cov_9.223985,atg162|pair_2|rev,atg162|pair_2|fwd|var_1,35508,35529,37129,37109,1621
23,I61A,NODE_9417_length_112597_cov_9.223985,atg162|pair_2|rev,atg162|pair_2|fwd|var_0,35508,35529,36016,35995,508
24,I9A,NODE_17114_length_106818_cov_13.533281,atg162|pair_2|rev,atg162|pair_2|fwd|var_1,67819,67840,69440,69420,1621
25,I9A,NODE_17114_length_106818_cov_13.533281,atg162|pair_2|rev,atg162|pair_2|fwd|var_0,67819,67840,68327,68306,508
26,I5V,NODE_36160_length_249094_cov_15.165792,atg162|pair_2|rev,atg162|pair_2|fwd|var_1,47232,47253,48853,48833,1621
27,I5V,NODE_36160_length_249094_cov_15.165792,atg162|pair_2|rev,atg162|pair_2|fwd|var_0,47232,47253,47740,47719,508
28,I17V,NODE_17153_length_617906_cov_9.525179,atg162|pair_2|rev,atg162|pair_2|fwd|var_1,356549,356570,358170,358150,1621
29,I17V,NODE_17153_length_617906_cov_9.525179,atg162|pair_2|rev,atg162|pair_2|fwd|var_0,356549,356570,357057,357036,508
30,I31A,NODE_32761_length_67348_cov_8.091139,atg162|pair_2|rev,atg162|pair_2|fwd|var_1,35818,35839,37439,37419,1621
31,I31A,NODE_32761_length_67348_cov_8.091139,atg162|pair_2|rev,atg162|pair_2|fwd|var_0,35818,35839,36326,36305,508
32,I65V,NODE_36919_length_337138_cov_9.006107,atg162|pair_2|rev,atg162|pair_2|fwd|var_1,259923,259902,258302,258322,1621
33,I65V,NODE_36919_length_337138_cov_9.006107,atg162|pair_2|rev,atg162|pair_2|fwd|var_0,259923,259902,259415,259436,508
34,B04,B04S209,atg162|pair_2|rev,atg162|pair_2|fwd|var_1,9155,9134,7534,7554,1621
35,B04,B04S209,atg162|pair_2|rev,atg162|pair_2|fwd|var_0,9155,9134,8647,8668,508
36,MNH120,scaffold_48,atg162|pair_2|rev,atg162|pair_2|fwd|var_1,7115,7136,8736,8716,1621
37,MNH120,scaffold_48,atg162|pair_2|rev,atg162|pair_2|fwd|var_0,7115,7136,7623,7602,508
38,I37A,NODE_28325_length_1062677_cov_11.556614,atg162|pair_2|rev,atg162|pair_2|fwd|var_1,1008582,1008603,1010203,1010183,1621
39,I37A,NODE_28325_length_1062677_cov_11.556614,atg162|pair_2|rev,atg162|pair_2|fwd|var_0,1008582,1008603,1009090,1009069,508
