,genome,scaffold,p1_id,p2_id,p1_start,p1_end,p2_start,p2_end,length
0,I19A,NODE_42405_length_261529_cov_13.653106,atg140|pair_0|rev,atg140|pair_0|fwd,225032,225011,224376,224397,656
1,I61A,NODE_3558_length_543958_cov_9.351410,atg140|pair_0|rev,atg140|pair_0|fwd,316065,316044,315409,315430,656
2,I9A,NODE_12384_length_154743_cov_13.348035,atg140|pair_0|rev,atg140|pair_0|fwd,38303,38324,38959,38938,656
3,I5V,NODE_35582_length_606476_cov_15.460932,atg140|pair_0|rev,atg140|pair_0|fwd,416863,416884,417519,417498,656
4,I17V,NODE_46667_length_291164_cov_9.505976,atg140|pair_0|rev,atg140|pair_0|fwd,154591,154570,153935,153956,656
5,I31A,NODE_34412_length_65699_cov_7.310629,atg140|pair_0|rev,atg140|pair_0|fwd,35808,35829,36464,36443,656
6,I65V,NODE_45951_length_173735_cov_8.953676,atg140|pair_0|rev,atg140|pair_0|fwd,119298,119277,118642,118663,656
7,B04,B04S196,atg140|pair_0|rev,atg140|pair_0|fwd,70323,70302,69667,69688,656
8,MNH120,scaffold_38,atg140|pair_0|rev,atg140|pair_0|fwd,24329,24350,24985,24964,656
9,I37A,NODE_12110_length_89328_cov_11.475763,atg140|pair_0|rev,atg140|pair_0|fwd,53614,53593,52958,52979,656
