,genome,scaffold,p1_id,p2_id,p1_start,p1_end,p2_start,p2_end,length
0,I19A,NODE_4902_length_96281_cov_13.126432,atg10724|pair_0|fwd,atg10724|pair_0|rev,20577,20556,19761,19782,816
1,I61A,NODE_12812_length_323635_cov_9.417337,atg10724|pair_0|fwd,atg10724|pair_0|rev,225125,225146,225941,225920,816
2,I9A,NODE_13661_length_107724_cov_12.738434,atg10724|pair_0|fwd,atg10724|pair_0|rev,84848,84869,85664,85643,816
3,I5V,NODE_5090_length_307152_cov_15.165000,atg10724|pair_0|fwd,atg10724|pair_0|rev,144757,144778,145573,145552,816
4,I17V,NODE_17153_length_617906_cov_9.525179,atg10724|pair_0|fwd,atg10724|pair_0|rev,222208,222187,221392,221413,816
5,I31A,NODE_12149_length_44683_cov_7.485711,atg10724|pair_0|fwd,atg10724|pair_0|rev,34833,34854,35649,35628,816
6,I65V,NODE_15589_length_243109_cov_8.857146,atg10724|pair_0|fwd,atg10724|pair_0|rev,68782,68803,69598,69577,816
7,B04,B04S209,atg10724|pair_0|fwd,atg10724|pair_0|rev,93567,93588,94383,94362,816
8,MNH120,scaffold_996,atg10724|pair_0|fwd,atg10724|pair_0|rev,123838,123859,124654,124633,816
9,I37A,NODE_28325_length_1062677_cov_11.556614,atg10724|pair_0|fwd,atg10724|pair_0|rev,833658,833637,832842,832863,816
