,genome,scaffold,p1_id,p2_id,p1_start,p1_end,p2_start,p2_end,length
320,I19A,NODE_48360_length_236681_cov_13.471301,atg12487|pair_32|rev,atg12487|pair_32|fwd,211592,211571,210669,210690,923
321,I61A,NODE_22103_length_237062_cov_9.396736,atg12487|pair_32|rev,atg12487|pair_32|fwd,208133,208112,207210,207231,923
322,I9A,NODE_15629_length_226622_cov_13.057091,atg12487|pair_32|rev,atg12487|pair_32|fwd,204715,204694,203792,203813,923
323,I5V,NODE_36160_length_249094_cov_15.165792,atg12487|pair_32|rev,atg12487|pair_32|fwd,104748,104769,105671,105650,923
324,I17V,NODE_17153_length_617906_cov_9.525179,atg12487|pair_32|rev,atg12487|pair_32|fwd,414056,414077,414979,414958,923
325,I31A,NODE_24116_length_107602_cov_7.546105,atg12487|pair_32|rev,atg12487|pair_32|fwd,24777,24798,25700,25679,923
326,I65V,NODE_36919_length_337138_cov_9.006107,atg12487|pair_32|rev,atg12487|pair_32|fwd,202416,202395,201493,201514,923
327,B04,B04S84,atg12487|pair_32|rev,atg12487|pair_32|fwd,160716,160695,159793,159814,923
328,MNH120,scaffold_978,atg12487|pair_32|rev,atg12487|pair_32|fwd,243434,243455,244357,244336,923
329,I37A,NODE_4520_length_295731_cov_11.281239,atg12487|pair_32|rev,atg12487|pair_32|fwd,267008,266987,266085,266106,923
